,Month,Total,"Men, 20 years and over","Women, 20 years and over",16 to 19 years old,White,Black or African American,Asian,Hispanic or Latino
0,Nov 2001,5.5,5.0,4.8,15.9,4.9,9.8,,7.3
1,Dec 2001,5.7,5.1,5.1,17.0,5.1,10.1,,7.7
2,Jan 2002,5.7,5.2,4.9,16.5,5.1,10.0,,7.8
3,Feb 2002,5.7,5.2,5.0,16.0,5.0,9.9,,7.0
4,Mar 2002,5.7,5.2,5.0,16.6,5.0,10.5,,7.5
5,Apr 2002,5.9,5.4,5.3,16.7,5.2,10.7,,8.0
6,May 2002,5.8,5.2,5.2,16.6,5.1,10.2,,7.1
7,June 2002,5.8,5.3,5.1,16.7,5.1,10.5,,7.4
8,July 2002,5.8,5.3,5.1,16.8,5.2,9.8,,7.4
9,Aug 2002,5.7,5.2,5.0,17.0,5.1,9.8,,7.5
10,Sept 2002,5.7,5.2,4.9,16.3,5.1,9.7,,7.4
11,Oct 2002,5.7,5.3,5.1,15.1,5.1,9.8,,7.9
12,Nov 2002,5.9,5.5,5.0,17.1,5.1,10.7,,7.8
13,Dec 2002,6.0,5.6,5.1,16.9,5.1,11.3,,7.9
14,Jan 2003,5.8,5.6,4.9,17.2,5.2,10.5,5.5,7.9
15,Feb 2003,5.9,5.5,5.1,17.2,5.1,10.7,5.8,7.7
16,Mar 2003,5.9,5.4,5.1,17.8,5.1,10.3,6.5,7.8
17,Apr 2003,6.0,5.7,5.1,17.7,5.3,10.9,6.0,7.6
18,May 2003,6.1,5.8,5.2,17.9,5.4,10.9,5.5,8.0
19,June 2003,6.3,6.0,5.2,19.0,5.5,11.5,7.4,8.3
20,July 2003,6.2,5.9,5.1,18.2,5.4,10.9,5.9,8.0
21,Aug 2003,6.1,5.8,5.2,16.6,5.4,10.9,6.0,7.7
22,Sept 2003,6.1,5.7,5.3,17.6,5.3,11.1,6.4,7.3
23,Oct 2003,6.0,5.6,5.1,17.2,5.1,11.4,6.2,7.5
24,Nov 2003,5.8,5.6,5.0,15.7,5.2,10.2,5.2,7.4
25,Dec 2003,5.7,5.2,5.1,16.2,5.0,10.1,5.4,6.7
26,Jan 2004,5.7,5.2,5.1,17.0,5.0,10.4,5.0,7.3
27,Feb 2004,5.6,5.1,4.9,16.5,4.9,9.7,4.5,7.4
28,Mar 2004,5.8,5.2,5.3,16.8,5.1,10.3,4.3,7.6
29,Apr 2004,5.6,5.1,4.9,16.6,5.0,9.8,4.7,7.1
30,May 2004,5.6,5.2,4.8,17.1,4.9,10.1,4.6,6.9
31,June 2004,5.6,5.1,5.0,17.0,5.0,10.2,4.6,6.6
32,July 2004,5.5,5.0,4.8,17.8,4.7,11.0,3.9,6.8
33,Aug 2004,5.4,5.0,4.7,16.7,4.7,10.5,3.7,6.8
34,Sept 2004,5.4,5.0,4.6,16.6,4.6,10.3,4.5,6.8
35,Oct 2004,5.5,4.9,4.7,17.4,4.6,10.8,4.9,6.8
36,Nov 2004,5.4,4.9,4.7,16.4,4.6,10.7,4.1,6.7
37,Dec 2004,5.4,4.8,4.6,17.6,4.5,10.7,4.2,6.6
38,Jan 2005,5.3,4.7,4.7,16.2,4.5,10.6,4.1,6.0
39,Feb 2005,5.4,4.8,4.7,17.5,4.6,10.9,4.3,6.3
40,Mar 2005,5.2,4.6,4.6,17.1,4.5,10.5,3.9,5.8
41,Apr 2005,5.2,4.4,4.6,17.8,4.4,10.3,4.2,6.4
42,May 2005,5.1,4.3,4.7,17.8,4.4,10.1,4.2,6.0
43,June 2005,5.0,4.3,4.6,16.3,4.3,10.2,3.6,5.7
44,July 2005,5.0,4.2,4.6,16.1,4.2,9.2,4.8,5.5
45,Aug 2005,4.9,4.3,4.4,16.1,4.2,9.7,3.7,5.8
46,Sept 2005,5.0,4.5,4.6,15.5,4.4,9.4,4.3,6.4
47,Oct 2005,5.0,4.3,4.5,16.1,4.4,9.1,3.2,6.0
48,Nov 2005,5.0,4.3,4.6,17.0,4.3,10.6,3.6,6.1
49,Dec 2005,4.9,4.3,4.4,14.9,4.2,9.2,3.8,6.1
50,Jan 2006,4.7,4.1,4.3,15.1,4.1,8.9,3.0,5.5
51,Feb 2006,4.8,4.2,4.3,15.3,4.1,9.5,3.0,5.4
52,Mar 2006,4.7,4.1,4.2,16.1,4.0,9.5,3.5,5.2
53,Apr 2006,4.7,4.2,4.3,14.6,4.1,9.4,3.9,5.5
54,May 2006,4.6,4.2,4.1,14.0,4.1,8.7,3.3,5.0
55,June 2006,4.6,4.0,4.1,15.8,4.1,8.9,3.1,5.2
56,July 2006,4.7,4.1,4.2,15.9,4.1,9.5,2.4,5.2
57,Aug 2006,4.7,4.1,4.1,16.0,4.1,8.8,3.0,5.3
58,Sept 2006,4.5,3.7,4.2,16.3,3.9,9.0,3.0,5.5
59,Oct 2006,4.4,3.9,3.9,15.2,3.9,8.4,2.8,4.8
60,Nov 2006,4.5,4.0,4.0,14.8,4.0,8.5,3.1,5.1
61,Dec 2006,4.4,3.9,3.9,14.6,3.9,8.3,2.5,5.0
62,Jan 2007,4.6,4.2,4.0,14.8,4.2,7.9,3.1,5.5
63,Feb 2007,4.5,4.2,3.8,14.9,4.1,8.0,2.6,5.1
64,Mar 2007,4.4,4.0,3.8,14.9,3.8,8.4,3.0,5.0
65,Apr 2007,4.5,4.0,3.9,15.9,4.0,8.3,3.5,5.6
66,May 2007,4.4,4.0,3.8,15.9,3.9,8.3,3.2,5.8
67,June 2007,4.6,4.0,3.9,16.3,4.1,8.5,2.7,5.5
68,July 2007,4.7,4.2,4.2,15.3,4.2,8.1,2.7,5.9
69,Aug 2007,4.6,4.1,4.1,15.9,4.2,7.6,3.5,5.5
70,Sept 2007,4.7,4.2,4.1,15.9,4.2,8.0,3.4,5.9
71,Oct 2007,4.7,4.3,4.1,15.4,4.1,8.5,3.8,5.7
